"province","year","fuel","pct"
"GZ",1973,"gas",0
"GZ",1973,"refined liquids",0
"GZ",1974,"gas",0
"GZ",1974,"refined liquids",0
"GZ",1975,"gas",0
"GZ",1975,"refined liquids",0
"GZ",1976,"gas",0
"GZ",1976,"refined liquids",0
"GZ",1977,"gas",0
"GZ",1977,"refined liquids",0
"GZ",1978,"gas",0
"GZ",1978,"refined liquids",0
"GZ",1979,"gas",0
"GZ",1979,"refined liquids",0
"GZ",1980,"gas",0
"GZ",1980,"refined liquids",0
"GZ",1981,"gas",0
"GZ",1981,"refined liquids",0
"GZ",1982,"gas",0
"GZ",1982,"refined liquids",0
"GZ",1983,"gas",0
"GZ",1983,"refined liquids",0
"GZ",1984,"gas",0
"GZ",1984,"refined liquids",0
"GZ",1985,"gas",0
"GZ",1985,"refined liquids",0
"GZ",1986,"gas",0
"GZ",1986,"refined liquids",0
"GZ",1987,"gas",0
"GZ",1987,"refined liquids",0
"GZ",1988,"gas",0
"GZ",1988,"refined liquids",0
"GZ",1989,"gas",0
"GZ",1989,"refined liquids",0
"GZ",1990,"gas",0.0356246585970218
"GZ",1990,"refined liquids",0.000384264200270929
"GZ",1991,"gas",0.0349174507712764
"GZ",1991,"refined liquids",0.000334022990292988
"GZ",1992,"gas",0.0343359437164541
"GZ",1992,"refined liquids",0.000283502938048078
"GZ",1993,"gas",0.0338493592064791
"GZ",1993,"refined liquids",0.000232701715684892
"GZ",1994,"gas",0.0334362089824123
"GZ",1994,"refined liquids",0.000181616969368429
"GZ",1995,"gas",0.0247304169583975
"GZ",1995,"refined liquids",0.000129616857069411
"GZ",1996,"gas",0.0155064363010386
"GZ",1996,"refined liquids",0.000310200216009766
"GZ",1997,"gas",0.0102592264600368
"GZ",1997,"refined liquids",0.000525248553544376
"GZ",1998,"gas",0.0135611505761122
"GZ",1998,"refined liquids",0.000754199010765597
"GZ",1999,"gas",0.0133152056506056
"GZ",1999,"refined liquids",0.000884824848462324
"GZ",2000,"gas",0.0145834803262307
"GZ",2000,"refined liquids",0.00105285568970769
"GZ",2001,"gas",0.0119546192561664
"GZ",2001,"refined liquids",0.00122963447544372
"GZ",2002,"gas",0.0119190645577402
"GZ",2002,"refined liquids",0.00124038979624182
"GZ",2003,"gas",0.0103860913207562
"GZ",2003,"refined liquids",0.00133640993836882
"GZ",2004,"gas",0.00734716722408935
"GZ",2004,"refined liquids",0.00105106936257756
"GZ",2005,"gas",0.00621428326895564
"GZ",2005,"refined liquids",0.00128351917479586
"GZ",2006,"gas",0.00349054836809925
"GZ",2006,"refined liquids",0.00191025211664273
"GZ",2007,"gas",0.00284181222568885
"GZ",2007,"refined liquids",0.00280004445262444
"GZ",2008,"gas",0.00242583250640705
"GZ",2008,"refined liquids",0.00359055988773695
"GZ",2009,"gas",0.00201712122599926
"GZ",2009,"refined liquids",0.00574165471382778
"GZ",2010,"gas",0.00371453728336765
"GZ",2010,"refined liquids",0.00504154764320557
"GZ",2011,"gas",0.00313708196896932
"GZ",2011,"refined liquids",0.0134304081128619
"GZ",2012,"gas",0.000698611716310968
"GZ",2012,"refined liquids",0.00795988311179044
"GZ",2013,"gas",0.00155916599635753
"GZ",2013,"refined liquids",0.0107206251727848
"GZ",2014,"gas",0.00562660080659914
"GZ",2014,"refined liquids",0.0102910585700248
"GZ",2015,"gas",0.00562660080659914
"GZ",2015,"refined liquids",0.0102910585700248
"HA",1971,"gas",0
"HA",1971,"refined liquids",0
"HA",1972,"gas",0
"HA",1972,"refined liquids",0
"HA",1973,"gas",0
"HA",1973,"refined liquids",0
"HA",1974,"gas",0
"HA",1974,"refined liquids",0
"HA",1975,"gas",0
"HA",1975,"refined liquids",0
"HA",1976,"gas",0
"HA",1976,"refined liquids",0
"HA",1977,"gas",0
"HA",1977,"refined liquids",0
"HA",1978,"gas",0
"HA",1978,"refined liquids",0
"HA",1979,"gas",0
"HA",1979,"refined liquids",0
"HA",1980,"gas",0
"HA",1980,"refined liquids",0
"HA",1981,"gas",0
"HA",1981,"refined liquids",0
"HA",1982,"gas",0
"HA",1982,"refined liquids",0
"HA",1983,"gas",0
"HA",1983,"refined liquids",0
"HA",1984,"gas",0
"HA",1984,"refined liquids",0
"HA",1985,"gas",0
"HA",1985,"refined liquids",0.000730678247677305
"HA",1986,"gas",0
"HA",1986,"refined liquids",0.00101443910253544
"HA",1987,"gas",0
"HA",1987,"refined liquids",0.00129403744587391
"HA",1988,"gas",0
"HA",1988,"refined liquids",0.00157084687330812
"HA",1989,"gas",0
