"region","sector","fuel","year","multiplier","GCAM_region_ID","value","supplysector","subsector","stub.technology","minicam.energy.input","calibration","secondary.output"
"JS","chp_elec","gas",2005,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JS","chp_elec","gas",2010,NA,NA,7.26063503356663e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JS","chp_elec","gas",2015,NA,NA,8.31005275604476e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JS","chp_elec","refined liquids",1975,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JS","chp_elec","refined liquids",1990,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JS","chp_elec","refined liquids",2005,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JS","chp_elec","refined liquids",2010,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JS","chp_elec","refined liquids",2015,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JS","industry_energy","biomass",1975,0.0560152130408728,11,1.10451463361922e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JS","industry_energy","biomass",1990,0.0608331897472021,11,1.29782589229104e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JS","industry_energy","biomass",2005,0.0596494396321213,11,1.26023726242168e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JS","industry_energy","biomass",2010,0.060319739367651,11,1.0395442296491e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JS","industry_energy","biomass",2015,0.0615996719480139,11,1.88525735580144e-05,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JS","industry_energy","coal",1975,0.0560152130408728,11,0.266369225604613,"other industrial energy use","coal","coal","delivered coal","input",NA
"JS","industry_energy","coal",1990,0.0608331897472021,11,0.47548853513439,"other industrial energy use","coal","coal","delivered coal","input",NA
"JS","industry_energy","coal",2005,0.0596494396321213,11,1.11732328005449,"other industrial energy use","coal","coal","delivered coal","input",NA
"JS","industry_energy","coal",2010,0.060319739367651,11,0.839994961203666,"other industrial energy use","coal","coal","delivered coal","input",NA
"JS","industry_energy","coal",2015,0.0615996719480139,11,0.0732560261690476,"other industrial energy use","coal","coal","delivered coal","input",NA
"JS","industry_energy","electricity",1975,0.0695075407338641,11,0.0415021695730519,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JS","industry_energy","electricity",1990,0.0671804845777486,11,0.104244878778525,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JS","industry_energy","electricity",2005,0.0888452556959197,11,0.44290133509552,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JS","industry_energy","electricity",2010,0.093531201247039,11,0.499285518203704,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
