# File: detailed_industry_output.csv
# Title: Detailed industry output
# Units:  Mt/EJ
# Column types: cncccn
# ----------
province,year,supplysector,subsector,technology,production
AH,2005,chemical feedstocks,coal,coal,0
AH,2005,chemical feedstocks,gas,gas,0
AH,2005,chemical feedstocks,liquid,liquid,0
AH,2005,chemical,chemical,chemical,0
AH,2005,coke,coke,coke,0
AH,2005,coke,coke,coke CCS,0
AH,2005,construction,construction,construction,0
AH,2005,construction energy use,biomass,biomass,0
AH,2005,construction energy use,coal,coal,0
AH,2005,construction energy use,district heat,district heat,0
AH,2005,construction energy use,electricity,electricity,0
AH,2005,construction energy use,gas,gas,0
AH,2005,construction energy use,hydrogen,hydrogen,0
AH,2005,construction energy use,liquid,liquid,0
AH,2005,construction feedstocks,coal,coal,0
AH,2005,construction feedstocks,gas,gas,0
AH,2005,construction feedstocks,liquid,liquid,0
AH,2005,iron and steel,BLASTFUR,Biomass-based,0
AH,2005,iron and steel,BLASTFUR,BLASTFUR,0
AH,2005,iron and steel,BLASTFUR,BLASTFUR CCS,0
AH,2005,iron and steel,EAF with DRI,EAF with DRI,0
AH,2005,iron and steel,EAF with DRI,EAF with DRI CCS,0
AH,2005,iron and steel,EAF with DRI,Hydrogen-based DRI,0
AH,2005,iron and steel,EAF with scrap,EAF with scrap,0
AH,2005,mining energy use,biomass,biomass,0
AH,2005,mining energy use,coal,coal,0
AH,2005,mining energy use,district heat,district heat,0
AH,2005,mining energy use,electricity,electricity,0
AH,2005,mining energy use,gas,gas,0
AH,2005,mining energy use,hydrogen,hydrogen,0
AH,2005,mining energy use,liquid,liquid,0
AH,2010,agricultural energy use,biomass,biomass,0
AH,2010,agricultural energy use,coal,coal,0.022434504
AH,2010,agricultural energy use,district heat,district heat,0
AH,2010,agricultural energy use,electricity,electricity,0.019953424
AH,2010,agricultural energy use,gas,gas,8.43E-05
AH,2010,agricultural energy use,hydrogen,hydrogen,0
AH,2010,agricultural energy use,liquid,liquid,0.009216276
AH,2010,chemical energy use,biomass,biomass,0
AH,2010,chemical energy use,coal,coal,0.019653555
AH,2010,chemical energy use,coal,coal CCS,0
AH,2010,chemical energy use,district heat,district heat,0
AH,2010,chemical energy use,electricity,electricity,0.010876245
AH,2010,chemical energy use,gas,gas,0.003049715
AH,2010,chemical energy use,gas,gas CCS,0
AH,2010,chemical energy use,hydrogen,hydrogen,0
AH,2010,chemical energy use,liquid,liquid,0.002294813
AH,2010,chemical energy use,liquid,liquid CCS,0
AH,2010,chemical feedstocks,coal,coal,0.033493162
AH,2010,chemical feedstocks,gas,gas,0
AH,2010,chemical feedstocks,liquid,liquid,0
AH,2010,chemical,chemical,chemical,0.05124904
AH,2010,coke,coke,coke,8.336992811
AH,2010,coke,coke,coke CCS,0
AH,2010,construction,construction,construction,0.018646242
AH,2010,construction energy use,biomass,biomass,0
AH,2010,construction energy use,coal,coal,0.00536847
AH,2010,construction energy use,district heat,district heat,0
