# File: L245.IncomeElasticity_CHINA.csv
# Title: IncomeElasticity for municipal water
# Units: NA
# Description: Province income elasticity repeated out for future years
# Column types: ccnn
# ----------
region,energy.final.demand,year,income.elasticity
MC,municipal water,2030,0.366163898
MC,municipal water,2035,0.366163898
MC,municipal water,2040,0.366163898
MC,municipal water,2045,0.366163898
MC,municipal water,2050,0.366163898
MC,municipal water,2055,0.366163898
MC,municipal water,2060,0.366163898
MC,municipal water,2065,0.366163898
MC,municipal water,2070,0.366163898
MC,municipal water,2075,0.366163898
MC,municipal water,2080,0.366163898
MC,municipal water,2085,0.366163898
MC,municipal water,2090,0.366163898
MC,municipal water,2095,0.366163898
MC,municipal water,2100,0.366163898
NM,municipal water,2021,0.366163898
NM,municipal water,2025,0.366163898
NM,municipal water,2030,0.366163898
NM,municipal water,2035,0.366163898
NM,municipal water,2040,0.366163898
NM,municipal water,2045,0.366163898
NM,municipal water,2050,0.366163898
NM,municipal water,2055,0.366163898
NM,municipal water,2060,0.366163898
NM,municipal water,2065,0.366163898
NM,municipal water,2070,0.366163898
NM,municipal water,2075,0.366163898
NM,municipal water,2080,0.366163898
NM,municipal water,2085,0.366163898
NM,municipal water,2090,0.366163898
NM,municipal water,2095,0.366163898
NM,municipal water,2100,0.366163898
NX,municipal water,2021,0.366163898
NX,municipal water,2025,0.366163898
NX,municipal water,2030,0.366163898
NX,municipal water,2035,0.366163898
NX,municipal water,2040,0.366163898
NX,municipal water,2045,0.366163898
NX,municipal water,2050,0.366163898
NX,municipal water,2055,0.366163898
NX,municipal water,2060,0.366163898
NX,municipal water,2065,0.366163898
NX,municipal water,2070,0.366163898
NX,municipal water,2075,0.366163898
NX,municipal water,2080,0.366163898
NX,municipal water,2085,0.366163898
NX,municipal water,2090,0.366163898
NX,municipal water,2095,0.366163898
NX,municipal water,2100,0.366163898
QH,municipal water,2021,0.366163898
QH,municipal water,2025,0.366163898
QH,municipal water,2030,0.366163898
QH,municipal water,2035,0.366163898
QH,municipal water,2040,0.366163898
QH,municipal water,2045,0.366163898
QH,municipal water,2050,0.366163898
QH,municipal water,2055,0.366163898
QH,municipal water,2060,0.366163898
QH,municipal water,2065,0.366163898
QH,municipal water,2070,0.366163898
QH,municipal water,2075,0.366163898
QH,municipal water,2080,0.366163898
QH,municipal water,2085,0.366163898
QH,municipal water,2090,0.366163898
QH,municipal water,2095,0.366163898
QH,municipal water,2100,0.366163898
SC,municipal water,2021,0.366163898
SC,municipal water,2025,0.366163898
SC,municipal water,2030,0.366163898
SC,municipal water,2035,0.366163898
SC,municipal water,2040,0.366163898
SC,municipal water,2045,0.366163898
SC,municipal water,2050,0.366163898
SC,municipal water,2055,0.366163898
SC,municipal water,2060,0.366163898
SC,municipal water,2065,0.366163898
SC,municipal water,2070,0.366163898
SC,municipal water,2075,0.366163898
SC,municipal water,2080,0.366163898
SC,municipal water,2085,0.366163898
SC,municipal water,2090,0.366163898
SC,municipal water,2095,0.366163898
SC,municipal water,2100,0.366163898
SD,municipal water,2021,0.366163898
SD,municipal water,2025,0.366163898
SD,municipal water,2030,0.366163898
SD,municipal water,2035,0.366163898
SD,municipal water,2040,0.366163898
SD,municipal water,2045,0.366163898
SD,municipal water,2050,0.366163898
SD,municipal water,2055,0.366163898
SD,municipal water,2060,0.366163898
SD,municipal water,2065,0.366163898
SD,municipal water,2070,0.366163898
SD,municipal water,2075,0.366163898
SD,municipal water,2080,0.366163898
SD,municipal water,2085,0.366163898
SD,municipal water,2090,0.366163898
SD,municipal water,2095,0.366163898
SD,municipal water,2100,0.366163898
SH,municipal water,2021,0.366163898
SH,municipal water,2025,0.366163898
SH,municipal water,2030,0.366163898
SH,municipal water,2035,0.366163898
SH,municipal water,2040,0.366163898
SH,municipal water,2045,0.366163898
SH,municipal water,2050,0.366163898
SH,municipal water,2055,0.366163898
SH,municipal water,2060,0.366163898
SH,municipal water,2065,0.366163898
SH,municipal water,2070,0.366163898
SH,municipal water,2075,0.366163898
SH,municipal water,2080,0.366163898
SH,municipal water,2085,0.366163898
SH,municipal water,2090,0.366163898
SH,municipal water,2095,0.366163898
SH,municipal water,2100,0.366163898
SN,municipal water,2021,0.366163898
SN,municipal water,2025,0.366163898
SN,municipal water,2030,0.366163898
SN,municipal water,2035,0.366163898
SN,municipal water,2040,0.366163898
SN,municipal water,2045,0.366163898
SN,municipal water,2050,0.366163898
SN,municipal water,2055,0.366163898
SN,municipal water,2060,0.366163898
SN,municipal water,2065,0.366163898
SN,municipal water,2070,0.366163898
SN,municipal water,2075,0.366163898
SN,municipal water,2080,0.366163898
SN,municipal water,2085,0.366163898
SN,municipal water,2090,0.366163898
SN,municipal water,2095,0.366163898
SN,municipal water,2100,0.366163898
SX,municipal water,2021,0.366163898
SX,municipal water,2025,0.366163898
SX,municipal water,2030,0.366163898
SX,municipal water,2035,0.366163898
SX,municipal water,2040,0.366163898
SX,municipal water,2045,0.366163898
SX,municipal water,2050,0.366163898
SX,municipal water,2055,0.366163898
SX,municipal water,2060,0.366163898
SX,municipal water,2065,0.366163898
SX,municipal water,2070,0.366163898
SX,municipal water,2075,0.366163898
SX,municipal water,2080,0.366163898
SX,municipal water,2085,0.366163898
SX,municipal water,2090,0.366163898
SX,municipal water,2095,0.366163898
SX,municipal water,2100,0.366163898
TJ,municipal water,2021,0.366163898
TJ,municipal water,2025,0.366163898
TJ,municipal water,2030,0.366163898
TJ,municipal water,2035,0.366163898
TJ,municipal water,2040,0.366163898
TJ,municipal water,2045,0.366163898
TJ,municipal water,2050,0.366163898
TJ,municipal water,2055,0.366163898
TJ,municipal water,2060,0.366163898
