# File: L245.aeei_CHINA.csv
# Title: aeei_CHINA
# Units: NA
# Description: Province efficiency repeated out for all years
# Column types: ccnn
# ----------
region,energy.final.demand,year,aeei
JS,municipal water,2095,0.005
JS,municipal water,2100,0.005
JX,municipal water,2021,0.005
JX,municipal water,2025,0.005
JX,municipal water,2030,0.005
JX,municipal water,2035,0.005
JX,municipal water,2040,0.005
JX,municipal water,2045,0.005
JX,municipal water,2050,0.005
JX,municipal water,2055,0.005
JX,municipal water,2060,0.005
JX,municipal water,2065,0.005
JX,municipal water,2070,0.005
JX,municipal water,2075,0.005
JX,municipal water,2080,0.005
JX,municipal water,2085,0.005
JX,municipal water,2090,0.005
JX,municipal water,2095,0.005
JX,municipal water,2100,0.005
LN,municipal water,2021,0.005
LN,municipal water,2025,0.005
LN,municipal water,2030,0.005
LN,municipal water,2035,0.005
LN,municipal water,2040,0.005
LN,municipal water,2045,0.005
LN,municipal water,2050,0.005
LN,municipal water,2055,0.005
LN,municipal water,2060,0.005
LN,municipal water,2065,0.005
LN,municipal water,2070,0.005
LN,municipal water,2075,0.005
LN,municipal water,2080,0.005
LN,municipal water,2085,0.005
LN,municipal water,2090,0.005
LN,municipal water,2095,0.005
LN,municipal water,2100,0.005
MC,municipal water,2021,0.005
MC,municipal water,2025,0.005
MC,municipal water,2030,0.005
MC,municipal water,2035,0.005
MC,municipal water,2040,0.005
MC,municipal water,2045,0.005
MC,municipal water,2050,0.005
MC,municipal water,2055,0.005
MC,municipal water,2060,0.005
MC,municipal water,2065,0.005
MC,municipal water,2070,0.005
MC,municipal water,2075,0.005
MC,municipal water,2080,0.005
MC,municipal water,2085,0.005
MC,municipal water,2090,0.005
MC,municipal water,2095,0.005
MC,municipal water,2100,0.005
NM,municipal water,2021,0.005
NM,municipal water,2025,0.005
NM,municipal water,2030,0.005
NM,municipal water,2035,0.005
NM,municipal water,2040,0.005
NM,municipal water,2045,0.005
NM,municipal water,2050,0.005
NM,municipal water,2055,0.005
NM,municipal water,2060,0.005
NM,municipal water,2065,0.005
NM,municipal water,2070,0.005
NM,municipal water,2075,0.005
NM,municipal water,2080,0.005
NM,municipal water,2085,0.005
NM,municipal water,2090,0.005
NM,municipal water,2095,0.005
NM,municipal water,2100,0.005
NX,municipal water,2021,0.005
NX,municipal water,2025,0.005
NX,municipal water,2030,0.005
NX,municipal water,2035,0.005
NX,municipal water,2040,0.005
NX,municipal water,2045,0.005
NX,municipal water,2050,0.005
NX,municipal water,2055,0.005
NX,municipal water,2060,0.005
NX,municipal water,2065,0.005
NX,municipal water,2070,0.005
NX,municipal water,2075,0.005
NX,municipal water,2080,0.005
NX,municipal water,2085,0.005
NX,municipal water,2090,0.005
NX,municipal water,2095,0.005
NX,municipal water,2100,0.005
QH,municipal water,2021,0.005
QH,municipal water,2025,0.005
QH,municipal water,2030,0.005
QH,municipal water,2035,0.005
QH,municipal water,2040,0.005
QH,municipal water,2045,0.005
QH,municipal water,2050,0.005
QH,municipal water,2055,0.005
QH,municipal water,2060,0.005
QH,municipal water,2065,0.005
QH,municipal water,2070,0.005
QH,municipal water,2075,0.005
QH,municipal water,2080,0.005
QH,municipal water,2085,0.005
QH,municipal water,2090,0.005
QH,municipal water,2095,0.005
QH,municipal water,2100,0.005
SC,municipal water,2021,0.005
SC,municipal water,2025,0.005
SC,municipal water,2030,0.005
SC,municipal water,2035,0.005
SC,municipal water,2040,0.005
SC,municipal water,2045,0.005
SC,municipal water,2050,0.005
SC,municipal water,2055,0.005
SC,municipal water,2060,0.005
SC,municipal water,2065,0.005
SC,municipal water,2070,0.005
SC,municipal water,2075,0.005
SC,municipal water,2080,0.005
SC,municipal water,2085,0.005
SC,municipal water,2090,0.005
SC,municipal water,2095,0.005
SC,municipal water,2100,0.005
SD,municipal water,2021,0.005
SD,municipal water,2025,0.005
SD,municipal water,2030,0.005
SD,municipal water,2035,0.005
SD,municipal water,2040,0.005
SD,municipal water,2045,0.005
SD,municipal water,2050,0.005
SD,municipal water,2055,0.005
SD,municipal water,2060,0.005
SD,municipal water,2065,0.005
SD,municipal water,2070,0.005
SD,municipal water,2075,0.005
SD,municipal water,2080,0.005
SD,municipal water,2085,0.005
SD,municipal water,2090,0.005
SD,municipal water,2095,0.005
SD,municipal water,2100,0.005
SH,municipal water,2021,0.005
SH,municipal water,2025,0.005
SH,municipal water,2030,0.005
SH,municipal water,2035,0.005
SH,municipal water,2040,0.005
SH,municipal water,2045,0.005
SH,municipal water,2050,0.005
SH,municipal water,2055,0.005
SH,municipal water,2060,0.005
SH,municipal water,2065,0.005
SH,municipal water,2070,0.005
SH,municipal water,2075,0.005
SH,municipal water,2080,0.005
SH,municipal water,2085,0.005
SH,municipal water,2090,0.005
SH,municipal water,2095,0.005
SH,municipal water,2100,0.005
SN,municipal water,2021,0.005
SN,municipal water,2025,0.005
SN,municipal water,2030,0.005
SN,municipal water,2035,0.005
SN,municipal water,2040,0.005
SN,municipal water,2045,0.005
SN,municipal water,2050,0.005
SN,municipal water,2055,0.005
SN,municipal water,2060,0.005
SN,municipal water,2065,0.005
SN,municipal water,2070,0.005
SN,municipal water,2075,0.005
SN,municipal water,2080,0.005
SN,municipal water,2085,0.005
SN,municipal water,2090,0.005
SN,municipal water,2095,0.005
SN,municipal water,2100,0.005
SX,municipal water,2021,0.005
SX,municipal water,2025,0.005
SX,municipal water,2030,0.005
SX,municipal water,2035,0.005
SX,municipal water,2040,0.005
SX,municipal water,2045,0.005
SX,municipal water,2050,0.005
SX,municipal water,2055,0.005
SX,municipal water,2060,0.005
SX,municipal water,2065,0.005
SX,municipal water,2070,0.005
SX,municipal water,2075,0.005
SX,municipal water,2080,0.005
SX,municipal water,2085,0.005
SX,municipal water,2090,0.005
SX,municipal water,2095,0.005
SX,municipal water,2100,0.005
TJ,municipal water,2021,0.005
TJ,municipal water,2025,0.005
TJ,municipal water,2030,0.005
TJ,municipal water,2035,0.005
TJ,municipal water,2040,0.005
TJ,municipal water,2045,0.005
TJ,municipal water,2050,0.005
TJ,municipal water,2055,0.005
TJ,municipal water,2060,0.005
TJ,municipal water,2065,0.005
TJ,municipal water,2070,0.005
TJ,municipal water,2075,0.005
TJ,municipal water,2080,0.005
TJ,municipal water,2085,0.005
TJ,municipal water,2090,0.005
TJ,municipal water,2095,0.005
TJ,municipal water,2100,0.005
XJ,municipal water,2021,0.005
XJ,municipal water,2025,0.005
XJ,municipal water,2030,0.005
XJ,municipal water,2035,0.005
XJ,municipal water,2040,0.005
XJ,municipal water,2045,0.005
XJ,municipal water,2050,0.005
XJ,municipal water,2055,0.005
XJ,municipal water,2060,0.005
XJ,municipal water,2065,0.005
XJ,municipal water,2070,0.005
XJ,municipal water,2075,0.005
XJ,municipal water,2080,0.005
XJ,municipal water,2085,0.005
XJ,municipal water,2090,0.005
XJ,municipal water,2095,0.005
XJ,municipal water,2100,0.005
XZ,municipal water,2021,0.005
XZ,municipal water,2025,0.005
XZ,municipal water,2030,0.005
XZ,municipal water,2035,0.005
XZ,municipal water,2040,0.005
XZ,municipal water,2045,0.005
XZ,municipal water,2050,0.005
XZ,municipal water,2055,0.005
XZ,municipal water,2060,0.005
XZ,municipal water,2065,0.005
XZ,municipal water,2070,0.005
XZ,municipal water,2075,0.005
XZ,municipal water,2080,0.005
XZ,municipal water,2085,0.005
XZ,municipal water,2090,0.005
XZ,municipal water,2095,0.005
XZ,municipal water,2100,0.005
YN,municipal water,2021,0.005
YN,municipal water,2025,0.005
YN,municipal water,2030,0.005
YN,municipal water,2035,0.005
YN,municipal water,2040,0.005
YN,municipal water,2045,0.005
YN,municipal water,2050,0.005
YN,municipal water,2055,0.005
YN,municipal water,2060,0.005
YN,municipal water,2065,0.005
YN,municipal water,2070,0.005
YN,municipal water,2075,0.005
YN,municipal water,2080,0.005
YN,municipal water,2085,0.005
YN,municipal water,2090,0.005
YN,municipal water,2095,0.005
YN,municipal water,2100,0.005
ZJ,municipal water,2021,0.005
ZJ,municipal water,2025,0.005
ZJ,municipal water,2030,0.005
ZJ,municipal water,2035,0.005
ZJ,municipal water,2040,0.005
ZJ,municipal water,2045,0.005
ZJ,municipal water,2050,0.005
ZJ,municipal water,2055,0.005
ZJ,municipal water,2060,0.005
ZJ,municipal water,2065,0.005
ZJ,municipal water,2070,0.005
ZJ,municipal water,2075,0.005
ZJ,municipal water,2080,0.005
ZJ,municipal water,2085,0.005
ZJ,municipal water,2090,0.005
ZJ,municipal water,2095,0.005
ZJ,municipal water,2100,0.005
