# File: Population_Growth_Rates.csv
# Title: Population growth rates
# Units: N/A
# Description: Region population growth rates for future years
# Source: Growth rates are calculated based on historical population data
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Chongqing,0.008538627,0.008172771,0.007806916,0.007441061,0.007075205,0.00670935,0.006343494,0.005977639,0.005611783,0.005245928,0.004880073,0.004514217,0.004148362,0.003782506,0.003416651,0.003050795,0.00268494,0.002319085,0.001953229,0.001587374,0.001221518,0.000855663,0.000489807,0.000123952,-0.000241903,-0.000607759,-0.000973614,-0.00133947,-0.001705325,-0.002071181,-0.002437036,-0.002802891,-0.003168747,-0.003534602,-0.003900458,-0.004266313,-0.004632169,-0.004998024,-0.005363879,-0.005729735,-0.00609559,-0.006461446,-0.006827301,-0.007193157,-0.007559012,-0.007924867,-0.008290723,-0.008656578,-0.009022434,-0.009388289,-0.009754145
Sichuan,0.002081106,0.001841869,0.001602631,0.001363394,0.001124157,0.000884919,0.000645682,0.000406444,0.000167207,-7.20E-05,-0.000311268,-0.000550505,-0.000789742,-0.00102898,-0.001268217,-0.001507455,-0.001746692,-0.001985929,-0.002225167,-0.002464404,-0.002703641,-0.002942879,-0.003182116,-0.003421354,-0.003660591,-0.003899828,-0.004139066,-0.004378303,-0.00461754,-0.004856778,-0.005096015,-0.005335253,-0.00557449,-0.005813727,-0.006052965,-0.006292202,-0.006531439,-0.006770677,-0.007009914,-0.007249152,-0.007488389,-0.007727626,-0.007966864,-0.008206101,-0.008445338,-0.008684576,-0.008923813,-0.009163051,-0.009402288,-0.009641525,-0.009880763
Guizhou,0.002187937,0.001946605,0.001705273,0.001463941,0.001222609,0.000981276,0.000739944,0.000498612,0.00025728,1.59E-05,-0.000225384,-0.000466716,-0.000708048,-0.00094938,-0.001190712,-0.001432044,-0.001673377,-0.001914709,-0.002156041,-0.002397373,-0.002638705,-0.002880037,-0.003121369,-0.003362701,-0.003604033,-0.003845365,-0.004086698,-0.00432803,-0.004569362,-0.004810694,-0.005052026,-0.005293358,-0.00553469,-0.005776022,-0.006017354,-0.006258686,-0.006500019,-0.006741351,-0.006982683,-0.007224015,-0.007465347,-0.007706679,-0.007948011,-0.008189343,-0.008430675,-0.008672007,-0.00891334,-0.009154672,-0.009396004,-0.009637336,-0.009878668
Yunnan,0.005796022,0.005483943,0.005171864,0.004859785,0.004547707,0.004235628,0.003923549,0.00361147,0.003299391,0.002987312,0.002675233,0.002363155,0.002051076,0.001738997,0.001426918,0.001114839,0.00080276,0.000490681,0.000178602,-0.000133476,-0.000445555,-0.000757634,-0.001069713,-0.001381792,-0.001693871,-0.00200595,-0.002318028,-0.002630107,-0.002942186,-0.003254265,-0.003566344,-0.003878423,-0.004190502,-0.00450258,-0.004814659,-0.005126738,-0.005438817,-0.005750896,-0.006062975,-0.006375054,-0.006687133,-0.006999211,-0.00731129,-0.007623369,-0.007935448,-0.008247527,-0.008559606,-0.008871685,-0.009183763,-0.009495842,-0.009807921
Tibet,0.01667001,0.016144716,0.015619422,0.015094127,0.014568833,0.014043539,0.013518244,0.01299295,0.012467656,0.011942362,0.011417067,0.010891773,0.010366479,0.009841184,0.00931589,0.008790596,0.008265301,0.007740007,0.007214713,0.006689418,0.006164124,0.00563883,0.005113535,0.004588241,0.004062947,0.003537652,0.003012358,0.002487064,0.001961769,0.001436475,0.000911181,0.000385886,-0.000139408,-0.000664702,-0.001189997,-0.001715291,-0.002240585,-0.002765879,-0.003291174,-0.003816468,-0.004341762,-0.004867057,-0.005392351,-0.005917645,-0.00644294,-0.006968234,-0.007493528,-0.008018823,-0.008544117,-0.009069411,-0.009594706
Shaanxi,0.003659004,0.003388827,0.003118651,0.002848474,0.002578298,0.002308121,0.002037944,0.001767768,0.001497591,0.001227415,0.000957238,0.000687062,0.000416885,0.000146709,-0.000123468,-0.000393644,-0.000663821,-0.000933998,-0.001204174,-0.001474351,-0.001744527,-0.002014704,-0.00228488,-0.002555057,-0.002825233,-0.00309541,-0.003365586,-0.003635763,-0.00390594,-0.004176116,-0.004446293,-0.004716469,-0.004986646,-0.005256822,-0.005526999,-0.005797175,-0.006067352,-0.006337528,-0.006607705,-0.006877881,-0.007148058,-0.007418235,-0.007688411,-0.007958588,-0.008228764,-0.008498941,-0.008769117,-0.009039294,-0.00930947,-0.009579647,-0.009849823
Gansu,0.003282013,0.003019229,0.002756444,0.00249366,0.002230875,0.00196809,0.001705306,0.001442521,0.001179737,0.000916952,0.000654168,0.000391383,0.000128598,-0.000134186,-0.000396971,-0.000659755,-0.00092254,-0.001185324,-0.001448109,-0.001710894,-0.001973678,-0.002236463,-0.002499247,-0.002762032,-0.003024816,-0.003287601,-0.003550386,-0.00381317,-0.004075955,-0.004338739,-0.004601524,-0.004864309,-0.005127093,-0.005389878,-0.005652662,-0.005915447,-0.006178231,-0.006441016,-0.006703801,-0.006966585,-0.00722937,-0.007492154,-0.007754939,-0.008017723,-0.008280508,-0.008543293,-0.008806077,-0.009068862,-0.009331646,-0.009594431,-0.009857215
Qinghai,0.008435844,0.008072004,0.007708164,0.007344324,0.006980484,0.006616643,0.006252803,0.005888963,0.005525123,0.005161283,0.004797443,0.004433603,0.004069763,0.003705923,0.003342083,0.002978243,0.002614403,0.002250563,0.001886722,0.001522882,0.001159042,0.000795202,0.000431362,6.75E-05,-0.000296318,-0.000660158,-0.001023998,-0.001387838,-0.001751678,-0.002115518,-0.002479358,-0.002843199,-0.003207039,-0.003570879,-0.003934719,-0.004298559,-0.004662399,-0.005026239,-0.005390079,-0.005753919,-0.006117759,-0.006481599,-0.006845439,-0.007209279,-0.007573119,-0.00793696,-0.0083008,-0.00866464,-0.00902848,-0.00939232,-0.00975616
Ningxia,0.0102736,0.009873725,0.009473851,0.009073976,0.008674102,0.008274227,0.007874353,0.007474478,0.007074604,0.006674729,0.006274855,0.00587498,0.005475106,0.005075231,0.004675357,0.004275482,0.003875608,0.003475733,0.003075859,0.002675984,0.00227611,0.001876235,0.001476361,0.001076486,0.000676612,0.000276737,-0.000123137,-0.000523012,-0.000922886,-0.001322761,-0.001722635,-0.00212251,-0.002522384,-0.002922259,-0.003322133,-0.003722008,-0.004121882,-0.004521757,-0.004921631,-0.005321506,-0.00572138,-0.006121255,-0.006521129,-0.006921004,-0.007320878,-0.007720753,-0.008120627,-0.008520502,-0.008920376,-0.009320251,-0.009720125
Xinjiang,0.01521583,0.014719049,0.014222268,0.013725487,0.013228706,0.012731925,0.012235144,0.011738363,0.011241582,0.010744801,0.01024802,0.009751239,0.009254458,0.008757677,0.008260896,0.007764115,0.007267334,0.006770553,0.006273772,0.005776991,0.00528021,0.004783429,0.004286648,0.003789867,0.003293086,0.002796305,0.002299524,0.001802743,0.001305962,0.000809181,0.0003124,-0.000184381,-0.000681162,-0.001177943,-0.001674723,-0.002171504,-0.002668285,-0.003165066,-0.003661847,-0.004158628,-0.004655409,-0.00515219,-0.005648971,-0.006145752,-0.006642533,-0.007139314,-0.007636095,-0.008132876,-0.008629657,-0.009126438,-0.009623219
