# File: L245.BaseService_CHINA.csv
# Title: Municipal water withdraw
# Units: km3
# Description: Withdrawals filtered for base years and combined with demand category
# Column types: ccnn
# ----------
region,energy.final.demand,year,base.service
XJ,municipal water,1975,0.659665702
XJ,municipal water,1990,0.867105962
XJ,municipal water,2005,1.046
XJ,municipal water,2010,1.28
XJ,municipal water,2015,1.32
XZ,municipal water,1975,0.148321429
XZ,municipal water,1990,0.198214286
XZ,municipal water,2005,0.25
XZ,municipal water,2010,0.2
XZ,municipal water,2015,0.13
YN,municipal water,1975,1.494544698
YN,municipal water,1990,1.837998517
YN,municipal water,2005,1.913
YN,municipal water,2010,2.28
YN,municipal water,2015,2.02
ZJ,municipal water,1975,2.268186744
ZJ,municipal water,1990,2.615543178
ZJ,municipal water,2005,3.132
ZJ,municipal water,2010,3.94
ZJ,municipal water,2015,4.44
AH,municipal water,2021,3.28
BJ,municipal water,2021,1.75
CQ,municipal water,2021,1.96
FJ,municipal water,2021,3.22
GD,municipal water,2021,9.83
GS,municipal water,2021,0.83
GX,municipal water,2021,3.97
GZ,municipal water,2021,1.7
HA,municipal water,2021,3.54
HB,municipal water,2021,4.92
HE,municipal water,2021,2.44
HI,municipal water,2021,0.79
HL,municipal water,2021,1.62
HN,municipal water,2021,4.22
JL,municipal water,2021,1.28
JS,municipal water,2021,5.44
JX,municipal water,2021,2.79
LN,municipal water,2021,2.5
NM,municipal water,2021,1.04
NX,municipal water,2021,0.18
QH,municipal water,2021,0.26
SC,municipal water,2021,4.83
SD,municipal water,2021,3.3
SH,municipal water,2021,2.41
SN,municipal water,2021,1.61
SX,municipal water,2021,1.23
TJ,municipal water,2021,0.49
XJ,municipal water,2021,1.32
XZ,municipal water,2021,0.13
YN,municipal water,2021,2.02
ZJ,municipal water,2021,4.44
