# File: nonirrigation_shares_0p5degree.csv
# Title: Volume of water withdrawals at individual basin-province combinations for 2010 as calucated from Khan et al. (2023) data and other years from Huang et al. (2018)
# Units: km^3
# Comments: NA
# Column types: nccnnnnnn
# ----------
GCAM_basin_ID,basin_name,state_abbr,year,Domestic,Electricity,Livestock,Manufacturing,Mining
78,ChinaCst,ZJ,1975,0.217445568,0.341625365,0.628823434,1.088239143,0.039153936
78,ChinaCst,ZJ,1990,1.060468965,0.535657841,0.674692789,0.947054551,0.032243276
78,ChinaCst,ZJ,2005,2.039482029,1.963138885,0.509714385,1.843233319,0.07749257
78,ChinaCst,ZJ,2010,2.086720832,2.357576334,0.214648158,2.625310308,0.110365953
79,HuangHeR,GS,1975,0.087583904,0.137601715,0.432028511,0.438326857,0.015770634
79,HuangHeR,GS,1990,0.441492957,0.223004324,0.474426056,0.394276424,0.013423476
79,HuangHeR,GS,2005,0.879781557,0.846849034,0.417541907,0.795124775,0.033428357
79,HuangHeR,GS,2010,0.899766407,1.016555715,0.17984479,1.131999062,0.047588338
79,HuangHeR,HA,1975,0.088186863,0.138549014,0.334504133,0.441344457,0.015879205
79,HuangHeR,HA,1990,0.419505245,0.21189802,0.372455419,0.37464024,0.012754945
79,HuangHeR,HA,2005,0.820627463,0.789909228,0.353191788,0.741662774,0.031180726
79,HuangHeR,HA,2010,0.830677548,0.93849915,0.153669431,1.045078142,0.043934252
79,HuangHeR,NM,1975,0.04651057,0.073072037,0.189739317,0.232769163,0.00837484
79,HuangHeR,NM,1990,0.252569465,0.127576402,0.215302223,0.225557812,0.007679307
79,HuangHeR,NM,2005,0.530046171,0.510205158,0.214161892,0.479042599,0.020139741
79,HuangHeR,NM,2010,0.555916644,0.628074395,0.092536346,0.699400549,0.029402242
79,HuangHeR,NX,1975,0.025487517,0.040043044,0.20990915,0.127556126,0.004589363
79,HuangHeR,NX,1990,0.130939654,0.066139467,0.226335794,0.116935995,0.003981185
79,HuangHeR,NX,2005,0.279897586,0.269420287,0.175735899,0.252964504,0.010635045
79,HuangHeR,NX,2010,0.293509369,0.331606764,0.074070018,0.369265098,0.01552361
79,HuangHeR,QH,1975,0.019079827,0.029976022,0.139521666,0.095487876,0.003435574
79,HuangHeR,QH,1990,0.116151597,0.05866981,0.154256726,0.103729482,0.003531558
79,HuangHeR,QH,2005,0.222440588,0.214114056,0.13980512,0.201036293,0.008451897
79,HuangHeR,QH,2010,0.223675978,0.252709027,0.060264244,0.281407479,0.011830146
79,HuangHeR,SC,1975,0.000751272,0.001180312,0.007275664,0.003759856,0.000135276
79,HuangHeR,SC,1990,0.00387167,0.001955635,0.008565957,0.003457605,0.000117717
79,HuangHeR,SC,2005,0.007950532,0.007652922,0.010736371,0.007185493,0.00030209
79,HuangHeR,SC,2010,0.00817605,0.009237297,0.004826689,0.010286315,0.000432428
79,HuangHeR,SD,1975,0.157423929,0.247326298,0.49464973,0.787851798,0.02834625
79,HuangHeR,SD,1990,0.783741441,0.395878866,0.556273635,0.699922319,0.02382945
79,HuangHeR,SD,2005,1.470042679,1.415015142,0.553743688,1.32858816,0.055856038
79,HuangHeR,SD,2010,1.499354372,1.69396995,0.24222097,1.886342643,0.079300341
79,HuangHeR,SN,1975,0.139503235,0.219171372,0.411550506,0.698164978,0.025119393
79,HuangHeR,SN,1990,0.743888998,0.375748832,0.457980446,0.664331987,0.022617747
79,HuangHeR,SN,2005,1.4217569,1.368536819,0.42971618,1.284948662,0.054021361
79,HuangHeR,SN,2010,1.427913374,1.613255939,0.186181192,1.796462488,0.075521851
79,HuangHeR,SX,1975,0.123299616,0.193714118,0.380971628,0.617071524,0.022201718
79,HuangHeR,SX,1990,0.662939521,0.334860109,0.424867957,0.592039851,0.0201565
79,HuangHeR,SX,2005,1.342035095,1.291799215,0.405847712,1.212898066,0.050992236
79,HuangHeR,SX,2010,1.371631773,1.549669011,0.176561659,1.725654423,0.072545137
85,Tarim,GS,1975,0.00136482,0.002144247,0.005881753,0.006830447,0.000245754
85,Tarim,GS,1990,0.006756195,0.003412649,0.007025895,0.006033637,0.00020542
85,Tarim,GS,2005,0.01903579,0.018323231,0.008087649,0.017204075,0.000723288
85,Tarim,GS,2010,0.021983755,0.024837237,0.003493029,0.027657834,0.001162713
85,Tarim,QH,1975,0.002149833,0.003377569,0.014789965,0.010759162,0.000387106
85,Tarim,QH,1990,0.01159109,0.005854823,0.017481986,0.010351453,0.000352424
85,Tarim,QH,2005,0.024901477,0.023969349,0.019637593,0.022505338,0.000946162
85,Tarim,QH,2010,0.026603019,3.01E-02,0.008482907,0.033469346,0.001407025
85,Tarim,XJ,1975,0.03516117,0.054809087,0.116735509,0.174013009,0.006260962
85,Tarim,XJ,1990,0.223201807,0.113145901,0.13854911,0.197343435,0.006784484
85,Tarim,XJ,2005,0.494460099,0.474602734,0.171495632,0.445225442,0.018713261
85,Tarim,XJ,2010,0.527470471,0.59538311,0.075950358,0.660064424,0.027739197
85,Tarim,XZ,1975,3.80079E-05,5.97119E-05,8.20971E-08,0.000190211,6.84363E-06
85,Tarim,XZ,1990,0.000967625,0.000488761,8.73689E-08,0.00086414,2.94204E-05
85,Tarim,XZ,2005,0.002201285,0.002118885,6.14124E-08,0.001989467,8.36405E-05
85,Tarim,XZ,2010,2.34E-03,2.64E-03,2.54124E-08,2.94E-03,1.24E-04
89,IndusR,XJ,1975,8.45469E-05,0.000131248,1.15144E-05,0.000416591,1.49975E-05
89,IndusR,XJ,1990,0.000480526,0.00023423,1.50185E-05,0.000389965,1.35977E-05
89,IndusR,XJ,2005,0.001150667,0.001007469,2.053E-05,0.000934534,3.95416E-05
89,IndusR,XJ,2010,0.001276045,0.001361714,2.18545E-05,0.001461364,6.25778E-05
89,IndusR,XZ,1975,0.000312075,0.000335138,0.000390039,0.000921075,3.40133E-05
89,IndusR,XZ,1990,0.002093279,0.00093416,0.000485623,0.001301077,4.89538E-05
89,IndusR,XZ,2005,0.004591157,0.003116552,0.000638101,0.002777871,0.000120069
89,IndusR,XZ,2010,0.005067876,0.00472253,0.000384992,0.004568937,0.000206417
92,Tibet,QH,1975,7.5248E-06,1.18218E-05,0,3.76581E-05,1.35491E-06
92,Tibet,QH,1990,0.00032073,0.000162005,0,0.000286429,9.75172E-06
92,Tibet,QH,2005,0.000983097,0.000946297,0,0.000888499,3.7354E-05
92,Tibet,QH,2010,0.001162759,0.001313685,0,0.001462871,6.14979E-05
92,Tibet,XZ,1975,0.000751103,0.001180049,0.000282938,0.003759016,0.000135246
92,Tibet,XZ,1990,0.005627914,0.002842739,0.000348283,0.005026023,0.000171115
92,Tibet,XZ,2005,0.012019089,0.011569183,0.000454516,0.010862555,0.00045668
92,Tibet,XZ,2010,0.012552396,0.014181692,0.000199521,0.015792211,0.000663892
106,Yangtze,AH,1975,0.295025271,0.463509635,1.497418826,1.476498459,0.053123182
106,Yangtze,AH,1990,1.654686454,0.835805482,1.64300783,1.477722006,0.050310301
106,Yangtze,AH,2005,2.959072377,2.848306565,1.446875293,2.674336319,0.11243351
106,Yangtze,AH,2010,2.910836442,3.288661809,0.624289793,3.662132854,0.153953146
106,Yangtze,CQ,1975,0.198600244,0.312017769,1.371543892,0.993924869,0.035760587
106,Yangtze,CQ,1990,0.90337604,0.456307989,1.460887913,0.806762304,0.027466908
106,Yangtze,CQ,2005,1.626162409,1.565290897,1.065835228,1.469685293,0.061787994
106,Yangtze,CQ,2010,1.6028738,1.810926157,0.447181788,2.016580774,0.084775449
106,Yangtze,GS,1975,0.017313959,0.027201692,0.183645831,0.086650317,0.003117606
106,Yangtze,GS,1990,0.106991772,0.054043054,0.200534069,0.095549277,0.003253056
106,Yangtze,GS,2005,0.200342837,0.192843481,0.173915842,0.181064893,0.007612267
106,Yangtze,GS,2010,0.199328247,0.225200971,0.07502287,0.25077552,0.010542403
106,Yangtze,GX,1975,0.011186114,0.01757433,0.136539584,0.055982594,0.002014207
106,Yangtze,GX,1990,0.073239969,0.036994542,0.14779136,0.065407143,0.002226842
106,Yangtze,GX,2005,0.115668019,0.111338263,0.121959697,0.10453789,0.004394945
106,Yangtze,GX,2010,0.108855177,0.122984534,0.05230944,0.136951055,0.005757313
106,Yangtze,GZ,1975,0.133340996,0.209489975,1.644999522,0.667325125,0.024009801
106,Yangtze,GZ,1990,0.768644398,0.388253134,1.774443161,0.686439861,0.023370428
106,Yangtze,GZ,2005,1.461426408,1.406721398,1.428659355,1.320800973,0.055528652
106,Yangtze,GZ,2010,1.470568965,1.661448209,0.61008244,1.850127627,0.077777891
106,Yangtze,HA,1975,0.341218262,0.536082728,2.055605854,1.707678257,0.061440838
