# File: ABSPI_intra_province_electricity_trade.csv
# Title: Intraprovince electricity trade
# Units: GWh
# Comments: obtained from Annual Book of Statistics for Power Industry from 2005 to 2019 preprocessed from original data format in Chinese
# Column types: ccnic
# ----------
from.region,to.region,value,year,units
FJ,JX,0,2005,GWh
JX,JX,0,2005,GWh
SD,JX,0,2005,GWh
HA,JX,0,2005,GWh
HB,JX,1999.86,2005,GWh
HN,JX,0,2005,GWh
GD,JX,0,2005,GWh
GX,JX,0,2005,GWh
HI,JX,0,2005,GWh
CQ,JX,0,2005,GWh
SC,JX,0,2005,GWh
GZ,JX,0,2005,GWh
YN,JX,0,2005,GWh
SN,JX,0,2005,GWh
GS,JX,0,2005,GWh
QH,JX,0,2005,GWh
NX,JX,0,2005,GWh
XJ,JX,0,2005,GWh
BJ,SD,0,2005,GWh
TJ,SD,0,2005,GWh
HE,SD,250.82,2005,GWh
SX,SD,0,2005,GWh
NM,SD,0,2005,GWh
LN,SD,0,2005,GWh
JL,SD,0,2005,GWh
HL,SD,0,2005,GWh
SH,SD,0,2005,GWh
JS,SD,0,2005,GWh
ZJ,SD,0,2005,GWh
AH,SD,0,2005,GWh
FJ,SD,0,2005,GWh
JX,SD,0,2005,GWh
SD,SD,0,2005,GWh
HA,SD,0,2005,GWh
HB,SD,0,2005,GWh
HN,SD,0,2005,GWh
GD,SD,0,2005,GWh
GX,SD,0,2005,GWh
HI,SD,0,2005,GWh
CQ,SD,0,2005,GWh
SC,SD,0,2005,GWh
GZ,SD,0,2005,GWh
YN,SD,0,2005,GWh
SN,SD,0,2005,GWh
GS,SD,0,2005,GWh
QH,SD,0,2005,GWh
NX,SD,0,2005,GWh
XJ,SD,0,2005,GWh
BJ,HA,0,2005,GWh
TJ,HA,0,2005,GWh
HE,HA,4.26,2005,GWh
SX,HA,0,2005,GWh
NM,HA,0,2005,GWh
LN,HA,0,2005,GWh
JL,HA,0,2005,GWh
HL,HA,0,2005,GWh
SH,HA,0,2005,GWh
JS,HA,13.54,2005,GWh
ZJ,HA,0,2005,GWh
AH,HA,0,2005,GWh
