# File: province_decile_gdp_per_capita_projections.csv
# Title: province-level decile of gdp per capita projections under scenarios
# Units: NA
# Comments: note the pop and gdp are not updated so leave them as blank
# Source: https://github.com/JGCRI/pridr, China Statistical Yearbook
# Column types: ccicnccnnn
# ----------
province_code,province,year,sce,shares,category,gcam.consumer,decile_pop,decile_gdp,decile_gdp_pc
AH,Anhui,2025,SSP5,0.068763735,d4,resid_urban,,,
AH,Anhui,2025,SSP4,0.072785375,d5,resid_urban,,,
AH,Anhui,2025,SSP3,0.073729507,d5,resid_urban,,,
AH,Anhui,2025,SSP2,0.074767974,d5,resid_urban,,,
AH,Anhui,2025,SSP1,0.076225704,d5,resid_urban,,,
AH,Anhui,2025,SSP5,0.076997685,d5,resid_urban,,,
AH,Anhui,2025,SSP4,0.082583096,d6,resid_urban,,,
AH,Anhui,2025,SSP3,0.083376331,d6,resid_urban,,,
AH,Anhui,2025,SSP2,0.084250543,d6,resid_urban,,,
AH,Anhui,2025,SSP1,0.085475592,d6,resid_urban,,,
AH,Anhui,2025,SSP5,0.086125566,d6,resid_urban,,,
AH,Anhui,2025,SSP4,0.094957071,d7,resid_urban,,,
AH,Anhui,2025,SSP3,0.095505732,d7,resid_urban,,,
AH,Anhui,2025,SSP2,0.096112857,d7,resid_urban,,,
AH,Anhui,2025,SSP1,0.096960625,d7,resid_urban,,,
AH,Anhui,2025,SSP5,0.097412158,d7,resid_urban,,,
AH,Anhui,2025,SSP4,0.112447606,d8,resid_urban,,,
AH,Anhui,2025,SSP3,0.112582262,d8,resid_urban,,,
AH,Anhui,2025,SSP2,0.112736198,d8,resid_urban,,,
AH,Anhui,2025,SSP1,0.112945131,d8,resid_urban,,,
AH,Anhui,2025,SSP5,0.113059895,d8,resid_urban,,,
AH,Anhui,2025,SSP5,0.140965331,d9,resid_urban,,,
AH,Anhui,2025,SSP1,0.141511415,d9,resid_urban,,,
AH,Anhui,2025,SSP2,0.142552152,d9,resid_urban,,,
AH,Anhui,2025,SSP3,0.143287289,d9,resid_urban,,,
AH,Anhui,2025,SSP4,0.143962162,d9,resid_urban,,,
AH,Anhui,2030,SSP4,0.030120678,d1,resid_urban,,,
AH,Anhui,2030,SSP3,0.031089945,d1,resid_urban,,,
AH,Anhui,2030,SSP2,0.032751343,d1,resid_urban,,,
AH,Anhui,2030,SSP1,0.035114437,d1,resid_urban,,,
AH,Anhui,2030,SSP5,0.03640491,d1,resid_urban,,,
AH,Anhui,2030,SSP5,0.258966121,d10,resid_urban,,,
AH,Anhui,2030,SSP1,0.267522069,d10,resid_urban,,,
AH,Anhui,2030,SSP2,0.283328004,d10,resid_urban,,,
AH,Anhui,2030,SSP3,0.294563679,d10,resid_urban,,,
AH,Anhui,2030,SSP4,0.300851149,d10,resid_urban,,,
AH,Anhui,2030,SSP4,0.045571671,d2,resid_urban,,,
AH,Anhui,2030,SSP3,0.046772877,d2,resid_urban,,,
AH,Anhui,2030,SSP2,0.048850576,d2,resid_urban,,,
AH,Anhui,2030,SSP1,0.051798638,d2,resid_urban,,,
AH,Anhui,2030,SSP5,0.053405469,d2,resid_urban,,,
AH,Anhui,2030,SSP4,0.055067811,d3,resid_urban,,,
AH,Anhui,2030,SSP3,0.056287283,d3,resid_urban,,,
AH,Anhui,2030,SSP2,0.058411294,d3,resid_urban,,,
AH,Anhui,2030,SSP1,0.061419496,d3,resid_urban,,,
AH,Anhui,2030,SSP5,0.063056695,d3,resid_urban,,,
AH,Anhui,2030,SSP4,0.063628705,d4,resid_urban,,,
AH,Anhui,2030,SSP3,0.064788925,d4,resid_urban,,,
AH,Anhui,2030,SSP2,0.066824864,d4,resid_urban,,,
AH,Anhui,2030,SSP1,0.069702642,d4,resid_urban,,,
AH,Anhui,2030,SSP5,0.071266393,d4,resid_urban,,,
AH,Anhui,2030,SSP4,0.072341109,d5,resid_urban,,,
