# File: irrigation_shares_0p5degree.csv
# Title: Volume of water withdrawals at individual basin-province combinations for 2010 as calculated from Khan et al. (2023) data and then calibrate based on Water resources Bulletin
# Units: km^3
# Comments: NA
# Column types: nccnn
# ----------
GCAM_basin_ID,basin_name,state_abbr,year,volume
77,ZiyaHe,HA,2015,1.673367136
77,ZiyaHe,HE,2015,12.54984642
77,ZiyaHe,LN,2015,0.102201056
77,ZiyaHe,NM,2015,1.358943638
77,ZiyaHe,SD,2015,3.987467637
77,ZiyaHe,SX,2015,2.003998309
77,ZiyaHe,TJ,2015,1.1737343
78,ChinaCst,AH,2015,0.22602151
78,ChinaCst,FJ,2015,8.976907979
78,ChinaCst,GD,2015,8.989925241
78,ChinaCst,JS,2015,20.00008992
78,ChinaCst,JX,2015,0.077788753
78,ChinaCst,SD,2015,6.373602592
78,ChinaCst,SH,2015,1.378565098
78,ChinaCst,ZJ,2015,8.227837986
79,HuangHeR,GS,2015,4.885239064
79,HuangHeR,HA,2015,2.299300978
79,HuangHeR,NM,2015,4.908181185
79,HuangHeR,NX,2015,6.1358184
79,HuangHeR,QH,2015,1.408411019
79,HuangHeR,SC,2015,0
79,HuangHeR,SD,2015,2.699225245
79,HuangHeR,SN,2015,5.133765731
79,HuangHeR,SX,2015,2.328666391
85,Tarim,GS,2015,0.222066553
85,Tarim,QH,2015,0.47987843
85,Tarim,XJ,2015,30.46602749
85,Tarim,XZ,2015,1.60E-05
89,IndusR,XJ,2015,1.58E-06
89,IndusR,XZ,2015,0.003366421
92,Tibet,QH,2015,1.15E-05
92,Tibet,XZ,2015,0.00476111
106,Yangtze,AH,2015,14.92350215
106,Yangtze,CQ,2015,2.153898
106,Yangtze,GS,2015,0.371034669
106,Yangtze,GX,2015,1.424186735
106,Yangtze,GZ,2015,3.74673935
106,Yangtze,HA,2015,7.194538886
106,Yangtze,HB,2015,14.953301
106,Yangtze,HN,2015,17.92370528
106,Yangtze,JS,2015,7.303481058
106,Yangtze,JX,2015,14.71644641
106,Yangtze,QH,2015,0
106,Yangtze,SC,2015,14.15036018
106,Yangtze,SD,2015,0.117271892
106,Yangtze,SN,2015,0.397737269
106,Yangtze,XZ,2015,0.01147869
106,Yangtze,YN,2015,1.618484026
108,XunJiang,GD,2015,8.615106191
108,XunJiang,GX,2015,13.89346802
108,XunJiang,GZ,2015,1.23881065
108,XunJiang,HN,2015,0.395364125
108,XunJiang,YN,2015,1.520070443
109,Hong,YN,2015,2.125342313
110,GangesR,XZ,2015,2.209764596
112,SChinaSea,GD,2015,4.364618553
112,SChinaSea,GX,2015,4.128639541
124,Hainan,HI,2015,3.30515
125,Mekong,QH,2015,0.069650995
125,Mekong,XZ,2015,0.295022988
125,Mekong,YN,2015,2.209237922
127,Salween,XZ,2015,0.102369308
127,Salween,YN,2015,1.015303719
137,IrrawaddyR,XZ,2015,0.075167054
137,IrrawaddyR,YN,2015,1.160234777
37,RusCstSE,HL,2021,0.103771151
37,RusCstSE,JL,2021,0.384306761
42,Gobi,GS,2021,3.870099743
42,Gobi,NM,2021,1.779158045
42,Gobi,QH,2021,0.006356475
42,Gobi,XJ,2021,18.02252612
43,AmurR,HL,2021,30.68087187
43,AmurR,JL,2021,4.728394748
43,AmurR,NM,2021,0.524508427
56,ObR,XJ,2021,1.093961165
66,BoHai,HE,2021,0.178659883
66,BoHai,JL ,2021,3.274250421
66,BoHai,LN,2021,8.369376244
66,BoHai,NM,2021,4.965371806
68,LBalkash,XJ,2021,4.753843978
77,ZiyaHe,BJ,2021,0.5902693
77,ZiyaHe,HA,2021,1.673367136
77,ZiyaHe,HE,2021,12.54984642
77,ZiyaHe,LN,2021,0.102201056
77,ZiyaHe,NM,2021,1.358943638
77,ZiyaHe,SD,2021,3.987467637
77,ZiyaHe,SX,2021,2.003998309
77,ZiyaHe,TJ,2021,1.1737343
78,ChinaCst,AH,2021,0.22602151
78,ChinaCst,FJ,2021,8.976907979
78,ChinaCst,GD,2021,8.989925241
78,ChinaCst,JS,2021,20.00008992
78,ChinaCst,JX,2021,0.077788753
78,ChinaCst,SD,2021,6.373602592
78,ChinaCst,SH,2021,1.378565098
78,ChinaCst,ZJ,2021,8.227837986
79,HuangHeR,GS,2021,4.885239064
79,HuangHeR,HA,2021,2.299300978
79,HuangHeR,NM,2021,4.908181185
79,HuangHeR,NX,2021,6.1358184
79,HuangHeR,QH,2021,1.408411019
79,HuangHeR,SC,2021,0
79,HuangHeR,SD,2021,2.699225245
79,HuangHeR,SN,2021,5.133765731
79,HuangHeR,SX,2021,2.328666391
85,Tarim,GS,2021,0.222066553
85,Tarim,QH,2021,0.47987843
85,Tarim,XJ,2021,30.46602749
85,Tarim,XZ,2021,1.60E-05
89,IndusR,XJ,2021,1.58E-06
89,IndusR,XZ,2021,0.003366421
92,Tibet,QH,2021,1.15E-05
92,Tibet,XZ,2021,0.00476111
106,Yangtze,AH,2021,14.92350215
106,Yangtze,CQ,2021,2.153898
106,Yangtze,GS,2021,0.371034669
106,Yangtze,GX,2021,1.424186735
106,Yangtze,GZ,2021,3.74673935
106,Yangtze,HA,2021,7.194538886
106,Yangtze,HB,2021,14.953301
106,Yangtze,HN,2021,17.92370528
106,Yangtze,JS,2021,7.303481058
106,Yangtze,JX,2021,14.71644641
106,Yangtze,QH,2021,0
106,Yangtze,SC,2021,14.15036018
106,Yangtze,SD,2021,0.117271892
106,Yangtze,SN,2021,0.397737269
106,Yangtze,XZ,2021,0.01147869
106,Yangtze,YN,2021,1.618484026
108,XunJiang,GD,2021,8.615106191
108,XunJiang,GX,2021,13.89346802
108,XunJiang,GZ,2021,1.23881065
108,XunJiang,HN,2021,0.395364125
108,XunJiang,YN,2021,1.520070443
109,Hong,YN,2021,2.125342313
110,GangesR,XZ,2021,2.209764596
112,SChinaSea,GD,2021,4.364618553
112,SChinaSea,GX,2021,4.128639541
124,Hainan,HI,2021,3.30515
125,Mekong,QH,2021,0.069650995
125,Mekong,XZ,2021,0.295022988
125,Mekong,YN,2021,2.209237922
127,Salween,XZ,2021,0.102369308
127,Salween,YN,2021,1.015303719
137,IrrawaddyR,XZ,2021,0.075167054
137,IrrawaddyR,YN,2021,1.160234777
