scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,agricultural energy use,coal,agricultural energy use,coal,0,0,0.0224345,0.0237799,2.33E-02,0.02127219,0.02094708,0.01771193,0.01486987,0.01252282,0.00997728,0.00675446,0.004062359,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,agricultural energy use,electricity,agricultural energy use,electricity,0,0,0.0199534,0.0150919,1.60E-02,1.64E-02,0.01739273,0.01872916,0.01885355,0.0191525,0.01971618,0.0203433,0.02101234,0,0,0,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,agricultural energy use,gas,agricultural energy use,gas,0,0,8.43E-05,1.09E-04,1.07E-04,1.05E-04,1.06E-04,1.05E-04,1.04E-04,1.03E-04,1.02E-04,1.00E-04,8.74E-05,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,agricultural energy use,hydrogen,agricultural energy use,hydrogen,0,0,0,0,0.00E+00,3.40E-06,1.17E-05,2.82E-05,3.76E-05,4.77E-05,6.11E-05,7.79E-05,9.95E-05,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,agricultural energy use,liquid,agricultural energy use,liquid,0,0,0.0092163,0.0099943,0.00986131,9.58E-03,0.00958319,0.009422351,0.009324042,0.00935381,0.00951746,0.00932518,0.00794207,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,airCO2,airCO2,airCO2,airCO2,0,0,0,0,0,3.19E-09,5.44E-09,9.18E-09,2.54E-08,7.22E-08,2.00E-07,1.60E-07,3.83E-07,0,0,0,0,0,0,0,0,Mt
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,biomass,base load generation,biomass_base_IGCC,0,0.00E+00,0,0,1.31E-03,0.00280076,0.003630888,0.00563664,0.006938893,0.008232318,0.010268983,0.010450223,9.36E-04,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,biomass,base load generation,biomass_base_IGCC_CCS,0,0,0,0,0,8.81E-04,0.001301851,0.002630535,0.004026466,0.006040158,0.010413748,0.023023348,0.045347746,0,0,0,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,biomass,base load generation,biomass_base_conv,0,2.92E-04,0.00254381,0.00539319,0.00614014,0.00905785,0.00993424,0.01279907,0.01417283,0.0152722,0.01721334,0.01078359,6.38E-04,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,biomass,base load generation,biomass_base_conv_CCS,0,0,0.00E+00,0.00E+00,0.00E+00,1.11E-03,1.53E-03,3.26E-03,5.34E-03,8.75E-03,1.70E-02,3.88E-02,7.82E-02,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
