"region","sector","Year","co2.emiss","scenario"
"JL","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"China","coal","1990",6.61351,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
